gangguan,solusi
NAPA - Cadmatic - Nesting,Sudah selesai 
Network Access,Pembersihan Ruang verifikasi
Instalasi Aplikasi,Installasi os dan microsoft office beserta lisensinya
Instalasi Aplikasi,Setting laptop baru dan instalasi aplikasi standart
Gangguan Aplikasi Pendukung,install malwarebytes dan scan virus
Network Access,"Kena blok , karena kena virus & sudah diclean"
Absensi,silahkan diperiksa kembali
Gangguan Storage,Pemasangan hdd dan penambahan kabel sata
Network Access,update windows karena driver port RJ45 belum terupdate dipart baru
Aplikasi Office/Perkantoran,Aktivasi office
Network Access,Tambah SSID HotspotPal
Gangguan CPU,"Mengatur settingan display monitor
"
Email,"	masalah:
setelah di cek bahwa benar storagenya hampir habis,

solusi:
telah di increase storage email.
silahkan di cek kembali"
Email,"masalah:
setelah di cek bahwa benar storagenya hampir habis,

solusi:
telah di increase storage email.
silahkan di cek kembali"
Gangguan CPU,Penggantian PSU
NAPA - Cadmatic - Nesting,Penyetinggan aster
Instalasi Aplikasi,penginstallan pdf creator
Absensi,bisa dicek kembali 
Email,"problem:
storage email penuh,

solusi:
email sudah di increase.

mohon di cek kembali, terima kasih"
Network Access,Setting PC
Email,"p: email penuh
s: sudah di increase storage email 
mohon di cek kembali, terima kasih"
Instalasi Aplikasi,penginstalan aplikasi apex beserta lisensinya. untuk aplikasi lainnya bisa ditanyakan ke pihak rnd karna it tidak tahu lisensinya. terimakasih
Gangguan Kelistrikan / Power Supply,Setelah dilakukan pengechek an tidak ada masalah pada cpu. mungkin pc mati disebabkan karena kabel power yang mati. terimakasih
Absensi,silahkan dicek kembali 
Instalasi Aplikasi,"Penginstallan cadmatic hull dan e-browser beserta lisensinya
"
Network Access,Jumlah tarikan kabel LAN banyak dan tingkat kesulitan lokasi kami menyarankan menggunakan jasa vendor
Gangguan CPU,pengantian PSU
Gangguan CPU,Pengantian PSU
Email,"problem: 
- email inbox kosong semua

mitigasi:
- saya coba kirim ke email dinantara_mega_bintang@pal.co.id. tidak masuk ke email inbox tapi masuk ke email delete items
- saya cek konfigurasi nya ternyata ada konfigurasi bahwa semua email inbox masuk ke delete items

solusi: 
- sudah saya delete konfigurasi tersebut.
- (dan jika user tidak merasa melakukan konfigurasi tersebut maka sebaiknya user mengupdate  password email tersebut.)

terima kasih"
